Fälligkeitsdatum;Ausgleichsdatum;Abrechnungsperiode;Abrechnungsdatum;Positionstext;Nummer Kreditor;Name Buchungspartner;UStID;Land;Kontonummer;Kontoname;Nummer Verkaufsstelle;Belegart;Belegdatum;Eingangsperiode;Belegnummer;Bruttobetrag in Belegwährung;Belegwährung;Bruttobetrag in Zahlwährung;Zahlwährung;Max. Skontosatz;Skontobasis in Belegwährung;Skonto Umsatzsteuersatz;Skonto in Zahlwährung;Skontobasis in Zahlwährung;Skonto Umsatzsteuer in Zahlwährung;Zahlbetrag in Zahlwährung;Umsatzsteuersatz;Warengruppe;Postentyp;Prüfkennzeichen;Prüfkommentar;Prüfer;Prüfungsdatum;Portaleingangsdatum
;11.03.2021;2021-07;20.03.2021;2021-06;;;;;1790046937;Schuhhaus Walder AG;;;11.03.2021;2021-07;0001072459;-251524,07;CHF;-251524,07;CHF;0,000;0,00;0,000;7195,03;0,00;0,00;-244329,04;0,000;;;;;;;10.03.2021
;11.03.2021;2021-06;10.03.2021;1790003207 Legero Schuh AG;1790003207;Legero Schuh AG c/o TEAG Treuhandbüro Eggenberger A;;CH;1790046937;Schuhhaus Walder AG;1790046937;Gutschrift;28.02.2021;2021-06;3045318;-78,17;CHF;-78,17;CHF;3,000;-78,17;0,000;2,35;-78,17;0,00;-75,82;7,700;Ware;;;;;;03.03.2021
;11.03.2021;2021-06;10.03.2021;1790006290 Rohde Shoes GmbH;1790006290;Rohde Shoes GmbH;DE815682077;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;26.02.2021;2021-06;7061902;2884,11;CHF;2884,11;CHF;3,000;2884,11;0,000;-86,52;2884,11;0,00;2797,59;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790006290 Rohde Shoes GmbH;1790006290;Rohde Shoes GmbH;DE815682077;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;26.02.2021;2021-06;7061901;4974,28;CHF;4974,28;CHF;3,000;4974,28;0,000;-149,23;4974,28;0,00;4825,05;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790008424 JACK WOLFSKIN;1790008424;JACK WOLFSKIN GMBH & CO.KGaA;DE811203633;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung Storno;26.02.2021;2021-06;21091903;-236,74;EUR;-263,38;CHF;3,000;-236,74;0,000;7,90;-263,38;0,00;-255,48;7,700;Ware;;;;;;05.03.2021
;11.03.2021;2021-06;10.03.2021;1790008424 JACK WOLFSKIN;1790008424;JACK WOLFSKIN GMBH & CO.KGaA;DE811203633;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;26.02.2021;2021-06;21091903;236,74;EUR;263,38;CHF;3,000;236,74;0,000;-7,90;263,38;0,00;255,48;7,700;Ware;;;;;;05.03.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;26.02.2021;2021-06;01-3882207;966,94;CHF;966,94;CHF;3,000;966,94;0,000;-29,01;966,94;0,00;937,93;7,700;Ware;;;;;;02.03.2021
;11.03.2021;2021-06;10.03.2021;1790004767 VF International SAGL;1790004767;VF International SAGL Marke Timberland;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung Storno;25.02.2021;2021-06;3300024065;-7401,69;EUR;-8234,53;CHF;3,000;-7401,69;0,000;247,04;-8234,53;0,00;-7987,49;7,700;Ware;;;;;;05.03.2021
;11.03.2021;2021-06;10.03.2021;1790004767 VF International SAGL;1790004767;VF International SAGL Marke Timberland;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;3300024065;7401,69;EUR;8234,53;CHF;3,000;7401,69;0,000;-247,04;8234,53;0,00;7987,49;7,700;Ware;;;;;;04.03.2021
;11.03.2021;2021-06;10.03.2021;1790001300 Chris Sports AG;1790001300;Chris Sports AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;12614650;3844,90;CHF;3844,90;CHF;2,000;3844,90;0,000;-76,90;3844,90;0,00;3768,00;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;01-3881509;513,73;CHF;513,73;CHF;3,000;513,73;0,000;-15,41;513,73;0,00;498,32;7,700;Ware;;;;;;26.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;01-3881508;497,12;CHF;497,12;CHF;3,000;497,12;0,000;-14,91;497,12;0,00;482,21;7,700;Ware;;;;;;26.02.2021
